"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","A","D",0,"D",0,"D",0,2,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA",,"G",8788,"G",75093,"G",322008,436,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA",,"G",15878,"G",84225,"G",360685,558,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA",,"G",198,"H",2054,"H",8591,16,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA","C","S",0,"H",1578,"H",7063,19,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA",,"G",751,"G",5778,"G",24826,91,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA",,"G",1749,"G",10290,"G",46766,217,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA",,"H",321,"H",712,"G",2810,20,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA",,"H",119,"G",1309,"G",5161,14,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA",,"G",363,"G",2871,"G",12272,79,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA",,"G",39,"G",268,"G",1234,16,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA",,"G",80,"G",437,"G",2213,13,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA",,"G",4788,"G",41967,"G",180975,323,"CHICOPEE","MA","HAMPDEN"
"01014","CHICOPEE, MA","A","S",0,"G",86,"G",309,3,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA",,"G",7375,"G",58695,"G",254591,529,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA",,"G",190,"G",1248,"G",5988,7,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA",,"G",2697,"G",29380,"G",118865,64,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA",,"H",123,"H",834,"H",4050,17,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA",,"G",4016,"G",32228,"G",136381,368,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA",,"G",7617,"G",75222,"G",309052,504,"EAST LONGMEADOW","MA","HAMPDEN"
