"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est"
"00501","HOLTSVILLE, NY","B","D",0,"D",0,"D",0,3
"01001","AGAWAM, MA",,"G",9681,"G",76511,"G",340969,477
"01002","AMHERST, MA",,"G",13152,"G",79481,"G",330150,584
"01003","AMHERST, MA",,"G",154,"H",1076,"G",4734,17
"01004","AMHERST, MA",,"H",187,"S",0,"H",6027,18
"01005","BARRE, MA",,"G",856,"G",6355,"G",26742,97
"01007","BELCHERTOWN, MA",,"G",1882,"G",11401,"G",47904,246
"01008","BLANDFORD, MA","E","S",0,"S",0,"H",2062,16
"01009","BONDSVILLE, MA",,"G",148,"G",1064,"G",5413,19
"01010","BRIMFIELD, MA",,"G",394,"G",3017,"G",13817,75
"01011","CHESTER, MA",,"G",41,"G",258,"G",1332,15
"01012","CHESTERFIELD, MA","B","S",0,"H",436,"G",2256,14
"01013","CHICOPEE, MA",,"G",5261,"G",44236,"G",183593,357
"01014","CHICOPEE, MA","A","S",0,"G",101,"G",460,4
"01020","CHICOPEE, MA",,"G",8151,"G",66499,"G",278250,546
"01021","CHICOPEE, MA",,"G",220,"G",1259,"G",5749,8
"01022","CHICOPEE, MA",,"G",2821,"G",29326,"G",122619,66
"01026","CUMMINGTON, MA",,"H",199,"S",0,"H",4979,15
"01027","EASTHAMPTON, MA",,"G",3950,"G",31398,"G",131219,386
"01028","EAST LONGMEADOW, MA",,"G",8484,"G",81360,"G",325270,512
"01029","EAST OTIS, MA",,"H",148,"H",827,"H",4238,18
"01030","FEEDING HILLS, MA",,"G",986,"G",5645,"G",25919,192
"01031","GILBERTVILLE, MA",,"G",62,"G",378,"G",1659,19
"01032","GOSHEN, MA",,"G",124,"G",740,"G",3742,21
"01033","GRANBY, MA",,"G",501,"G",3283,"G",15018,110
"01034","GRANVILLE, MA",,"G",108,"G",650,"G",3423,31
"01035","HADLEY, MA",,"G",4702,"G",32590,"G",136381,305
"01036","HAMPDEN, MA",,"G",625,"G",4554,"G",24034,117
"01037","HARDWICK, MA","E","D",0,"D",0,"D",0,16
"01038","HATFIELD, MA",,"H",1488,"H",16128,"H",64944,61
"01039","HAYDENVILLE, MA","E","S",0,"S",0,"H",8973,37
"01040","HOLYOKE, MA",,"G",18101,"G",153540,"G",616528,950
"01041","HOLYOKE, MA",,"G",920,"G",6044,"G",23254,36
"01050","HUNTINGTON, MA",,"G",189,"G",925,"G",4315,36
"01053","LEEDS, MA",,"H",1070,"H",12487,"H",50821,31
"01054","LEVERETT, MA",,"G",137,"G",794,"G",3577,34
"01056","LUDLOW, MA",,"G",4074,"G",34862,"G",161501,429
"01057","MONSON, MA",,"G",948,"G",7844,"G",34774,164
"01059","NORTH AMHERST, MA",,"G",183,"G",1147,"G",5156,14
"01060","NORTHAMPTON, MA",,"G",11270,"G",99517,"G",415590,752
"01061","NORTHAMPTON, MA",,"H",120,"H",1107,"G",4249,20
"01062","FLORENCE, MA",,"G",1699,"G",12421,"G",55148,196
"01063","NORTHAMPTON, MA","H","D",0,"D",0,"D",0,2
"01066","NORTH HATFIELD, MA","B","D",0,"D",0,"D",0,10
"01068","OAKHAM, MA",,"G",109,"G",1056,"G",4805,26
"01069","PALMER, MA",,"G",3535,"G",29945,"G",128378,288
"01070","PLAINFIELD, MA","B","D",0,"D",0,"D",0,8
"01071","RUSSELL, MA",,"G",118,"G",1021,"G",4662,24
"01072","SHUTESBURY, MA",,"H",79,"H",320,"G",1687,22
"01073","SOUTHAMPTON, MA",,"G",942,"H",6005,"H",26526,117
"01074","SOUTH BARRE, MA",,"G",107,"G",513,"G",2630,11
"01075","SOUTH HADLEY, MA",,"G",4633,"G",32296,"G",137544,293
"01077","SOUTHWICK, MA",,"G",2126,"G",15769,"G",68469,241
"01079","THORNDIKE, MA",,"G",58,"G",520,"G",2346,13
"01080","THREE RIVERS, MA",,"G",407,"G",2247,"G",9144,47
"01081","WALES, MA",,"G",61,"G",407,"G",1858,12
"01082","WARE, MA",,"H",2576,"G",20427,"G",85331,195
"01083","WARREN, MA",,"G",312,"H",3370,"H",13958,41
"01084","WEST CHESTERFIELD, MA","A","D",0,"D",0,"D",0,1
"01085","WESTFIELD, MA",,"G",13824,"G",120161,"G",510427,871
"01086","WESTFIELD, MA","F","D",0,"D",0,"D",0,30
"01088","WEST HATFIELD, MA",,"H",140,"G",1437,"G",5483,25
"01089","WEST SPRINGFIELD, MA",,"G",16199,"G",129567,"G",548368,983
"01090","WEST SPRINGFIELD, MA",,"H",195,"G",2385,"H",8943,23
"01092","WEST WARREN, MA",,"G",51,"G",349,"G",1707,18
"01093","WHATELY, MA",,"G",1081,"G",9204,"G",37155,35
"01094","WHEELWRIGHT, MA","B","D",0,"D",0,"D",0,3
"01095","WILBRAHAM, MA",,"H",3531,"H",30645,"H",132211,315
"01096","WILLIAMSBURG, MA",,"G",312,"G",1627,"G",7150,43
"01098","WORTHINGTON, MA",,"G",120,"G",886,"G",3824,25
"01101","SPRINGFIELD, MA",,"H",1552,"H",11768,"H",47949,43
"01102","SPRINGFIELD, MA",,"H",2795,"H",35381,"H",148707,19
"01103","SPRINGFIELD, MA",,"G",7114,"G",68458,"G",290002,571
"01104","SPRINGFIELD, MA",,"G",15228,"G",169425,"G",706803,550
"01105","SPRINGFIELD, MA",,"G",4956,"G",41013,"G",169163,283
"01106","LONGMEADOW, MA",,"H",3007,"H",19890,"H",85338,248
"01107","SPRINGFIELD, MA",,"G",1946,"H",24872,"H",115223,143
"01108","SPRINGFIELD, MA",,"G",2639,"G",15385,"G",65386,277
"01109","SPRINGFIELD, MA",,"G",5832,"G",38140,"G",164059,314
"01111","SPRINGFIELD, MA","H","D",0,"D",0,"D",0,10
"01115","SPRINGFIELD, MA",,"G",962,"G",57624,"G",137012,64
"01116","LONGMEADOW, MA",,"G",6,"S",0,"H",227,5
"01118","SPRINGFIELD, MA",,"G",1634,"G",11254,"G",50119,156
"01119","SPRINGFIELD, MA",,"G",3526,"G",21291,"G",82739,137
"01128","SPRINGFIELD, MA",,"H",745,"G",3535,"G",13809,42
"01129","SPRINGFIELD, MA",,"G",3078,"G",15617,"G",63026,195
"01138","SPRINGFIELD, MA","B","S",0,"G",142,"G",695,6
"01139","SPRINGFIELD, MA","B","D",0,"D",0,"D",0,3
"01144","SPRINGFIELD, MA",,"G",1108,"G",17297,"G",68831,39
"01151","INDIAN ORCHARD, MA",,"G",1640,"H",23927,"G",93200,140
"01199","SPRINGFIELD, MA","I","D",0,"D",0,"D",0,3
"01201","PITTSFIELD, MA",,"G",24741,"G",249693,"G",1037725,1356
"01202","PITTSFIELD, MA",,"G",390,"G",3749,"G",17274,36
"01220","ADAMS, MA",,"G",1738,"G",14682,"G",58913,174
"01222","ASHLEY FALLS, MA",,"G",59,"H",425,"H",1927,14
"01223","BECKET, MA",,"G",277,"G",1796,"G",10902,47
"01224","BERKSHIRE, MA","B","D",0,"D",0,"D",0,3
"01225","CHESHIRE, MA",,"H",400,"H",2746,"H",12478,53
"01226","DALTON, MA",,"G",1857,"G",24635,"G",83527,139
"01227","DALTON, MA",,"G",66,"G",351,"G",1733,11
"01229","GLENDALE, MA",,"H",24,"S",0,"H",629,6
"01230","GREAT BARRINGTON, MA",,"G",5278,"G",39976,"G",168350,447
"01235","HINSDALE, MA",,"H",188,"G",1432,"G",6771,49
"01236","HOUSATONIC, MA",,"H",334,"G",2593,"H",10481,34
"01237","LANESBORO, MA",,"G",2338,"H",11383,"H",44720,157
"01238","LEE, MA",,"G",3104,"G",26068,"G",102035,307
"01240","LENOX, MA",,"G",3848,"G",25621,"G",110827,243
"01242","LENOX DALE, MA",,"H",128,"G",821,"G",3407,19
"01243","MIDDLEFIELD, MA",,"G",28,"G",193,"G",696,7
"01244","MILL RIVER, MA",,"G",15,"G",121,"G",690,8
"01245","MONTEREY, MA",,"G",121,"G",1153,"G",5626,28
"01247","NORTH ADAMS, MA",,"G",4850,"G",38723,"G",155335,388
"01252","NORTH EGREMONT, MA",,"G",23,"G",94,"G",464,13
"01253","OTIS, MA",,"G",101,"G",746,"G",3222,29
"01254","RICHMOND, MA",,"G",102,"G",901,"G",3977,32
"01255","SANDISFIELD, MA",,"G",86,"G",706,"G",3250,17
"01256","SAVOY, MA",,"G",15,"G",150,"G",636,5
"01257","SHEFFIELD, MA",,"G",1021,"H",10088,"H",45234,120
"01258","SOUTH EGREMONT, MA",,"G",267,"G",1716,"G",5922,37
"01259","SOUTHFIELD, MA","B","S",0,"H",663,"H",3499,25
"01260","SOUTH LEE, MA",,"H",842,"H",9159,"H",35149,14
"01262","STOCKBRIDGE, MA",,"G",960,"G",7862,"G",36327,81
"01264","TYRINGHAM, MA","A","D",0,"D",0,"D",0,3
"01266","WEST STOCKBRIDGE, MA",,"G",181,"G",1177,"G",6383,61
